method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,turtle,ase21-h,0.985,1.0,0.9924433249370278,85.52458357810974,52.22231078147888,8399.0,21616.0,15.0,89.0,1.3258426966292134,118.0,67.0,8.778704404830933,25944.0
arvada,turtle,ase21-h,1.0,1.0,1.0,95.07841849327087,57.79716944694519,8583.0,21404.0,15.0,90.0,1.3222222222222222,119.0,67.0,9.2907555103302,25336.0
arvada,turtle,ase21-h,1.0,1.0,1.0,82.46023225784302,49.065768241882324,6760.0,20660.0,11.0,82.0,1.2439024390243902,102.0,67.0,7.141650915145874,24200.0
arvada,turtle,ase21-h,1.0,1.0,1.0,83.54237246513367,52.719404458999634,7476.0,21228.0,13.0,86.0,1.2906976744186047,111.0,67.0,8.79219675064087,25772.0
arvada,turtle,ase21-h,1.0,1.0,1.0,75.06636118888855,45.16061496734619,6247.0,20688.0,12.0,84.0,1.25,105.0,67.0,7.702404499053955,24952.0
arvada,turtle,r1,1.0,1.0,1.0,855.625195980072,264.4763276576996,31891.0,59380.0,34.0,131.0,1.5419847328244274,202.0,67.0,29.362829208374023,31616.0
arvada,turtle,r1,0.868,0.985,0.9228062601187264,893.6468274593353,272.0231292247772,33699.0,58132.0,28.0,123.0,1.6016260162601625,197.0,67.0,29.98121190071106,31828.0
arvada,turtle,r1,1.0,1.0,1.0,545.4127342700958,148.2051923274994,19340.0,43968.0,18.0,98.0,1.3265306122448979,130.0,67.0,20.907323122024536,29092.0
arvada,turtle,r1,1.0,1.0,1.0,634.876298904419,190.82864594459534,24720.0,59784.0,30.0,130.0,1.5153846153846153,197.0,67.0,65.28478646278381,36556.0
arvada,turtle,r1,1.0,1.0,1.0,607.1182615756989,153.3796181678772,19954.0,54432.0,20.0,104.0,1.4134615384615385,147.0,67.0,24.77994728088379,31704.0
arvada,turtle,r1,0.998,1.0,0.998998998998999,1434.4763989448547,486.4059338569641,42723.0,63040.0,30.0,128.0,1.65625,212.0,67.0,31.338706493377686,34744.0
arvada,turtle,r1,0.757,1.0,0.8616960728514513,646.6795997619629,165.68803453445435,21528.0,48032.0,23.0,111.0,1.4594594594594594,162.0,67.0,21.518243074417114,30076.0
arvada,turtle,r1,0.982,1.0,0.9909182643794148,834.2273564338684,273.4663484096527,32300.0,60348.0,30.0,128.0,1.5859375,203.0,67.0,51.88710880279541,32396.0
arvada,turtle,r1,0.983,1.0,0.9914271306101865,1066.8140602111816,393.0297656059265,40693.0,78444.0,37.0,146.0,2.0,292.0,67.0,58.083762645721436,35208.0
arvada,turtle,r1,1.0,1.0,1.0,742.0150532722473,200.67534399032593,24447.0,61964.0,25.0,118.0,1.5169491525423728,179.0,67.0,28.894503593444824,31880.0
arvada,turtle,r2,1.0,1.0,1.0,310.4102418422699,103.83007025718689,14801.0,40584.0,14.0,89.0,1.348314606741573,120.0,67.0,15.309554100036621,27872.0
arvada,turtle,r2,0.9,1.0,0.9473684210526316,545.7745079994202,210.3863866329193,26728.0,44252.0,33.0,128.0,1.4765625,189.0,67.0,34.07314324378967,33108.0
arvada,turtle,r2,1.0,1.0,1.0,317.9823520183563,105.95047354698181,15219.0,35752.0,15.0,89.0,1.2696629213483146,113.0,67.0,14.151476621627808,28388.0
arvada,turtle,r2,1.0,1.0,1.0,584.4849812984467,231.60122179985046,30385.0,48028.0,31.0,124.0,1.5,186.0,67.0,42.83596730232239,30120.0
arvada,turtle,r2,1.0,1.0,1.0,284.0037589073181,115.65082573890686,16324.0,38944.0,22.0,109.0,1.3944954128440368,152.0,67.0,34.35401797294617,32336.0
arvada,turtle,r2,1.0,1.0,1.0,470.0015995502472,183.87979364395142,24912.0,42668.0,29.0,121.0,1.5041322314049588,182.0,67.0,41.351075649261475,31188.0
arvada,turtle,r2,1.0,1.0,1.0,417.9411895275116,174.96460127830505,23219.0,42156.0,29.0,118.0,1.4830508474576272,175.0,67.0,29.124489068984985,30840.0
arvada,turtle,r2,1.0,1.0,1.0,281.9950740337372,125.63333773612976,17232.0,38896.0,23.0,106.0,1.3962264150943395,148.0,67.0,22.858851671218872,28816.0
arvada,turtle,r2,0.329,1.0,0.49510910458991725,239.33191871643066,113.9780797958374,15945.0,42396.0,26.0,115.0,1.4086956521739131,162.0,67.0,31.70247530937195,31140.0
arvada,turtle,r2,1.0,1.0,1.0,279.2850661277771,107.86860084533691,15368.0,34244.0,21.0,105.0,1.4285714285714286,150.0,67.0,26.39753746986389,29096.0
arvada,while,ase21-h,1.0,1.0,1.0,51.31869316101074,37.83846855163574,6046.0,21924.0,6.0,16.0,3.0,48.0,18.0,23.535239458084106,36716.0
arvada,while,ase21-h,1.0,1.0,1.0,47.62679624557495,34.855021953582764,5475.0,22152.0,5.0,15.0,3.2666666666666666,49.0,18.0,21.4300274848938,35100.0
arvada,while,ase21-h,1.0,0.64,0.7804878048780487,45.500821352005005,32.9332218170166,5167.0,21584.0,5.0,15.0,3.2666666666666666,49.0,18.0,8.513994693756104,26396.0
arvada,while,ase21-h,1.0,0.64,0.7804878048780487,39.84663152694702,28.93550968170166,4520.0,21752.0,5.0,15.0,3.2666666666666666,49.0,18.0,6.307058334350586,24940.0
arvada,while,ase21-h,1.0,0.424,0.5955056179775281,43.8367817401886,32.4915726184845,5042.0,21652.0,6.0,16.0,3.125,50.0,18.0,3.6077399253845215,22732.0
arvada,while,ase21-h,1.0,1.0,1.0,56.15335726737976,40.952131271362305,6509.0,21444.0,6.0,16.0,3.0,48.0,18.0,22.84376311302185,37108.0
arvada,while,ase21-h,1.0,0.64,0.7804878048780487,51.51761174201965,37.08578848838806,6026.0,21472.0,7.0,17.0,2.823529411764706,48.0,18.0,6.584811687469482,26088.0
arvada,while,ase21-h,1.0,1.0,1.0,54.440155267715454,39.445847034454346,6242.0,21268.0,6.0,16.0,2.9375,47.0,18.0,22.526721715927124,38244.0
arvada,while,ase21-h,1.0,0.51,0.6754966887417219,44.58853721618652,32.829612493515015,5231.0,21580.0,5.0,15.0,3.2666666666666666,49.0,18.0,5.969040393829346,23568.0
arvada,while,ase21-h,1.0,0.64,0.7804878048780487,39.42020392417908,29.1029155254364,4671.0,21808.0,6.0,16.0,3.125,50.0,18.0,7.063490867614746,24560.0
arvada,while,r1,0.3354564755838641,1.0,0.5023847376788553,12846.354031085968,3549.4507949352264,62722.0,878248.0,41.0,97.0,2.11340206185567,205.0,18.0,133.4482090473175,145200.0
arvada,while,r1,1.0,1.0,1.0,8420.328127145767,1858.4165604114532,32106.0,843420.0,29.0,71.0,2.0,142.0,18.0,287.01416850090027,188264.0
arvada,while,r1,1.0,1.0,1.0,15865.11472582817,3648.4299738407135,56958.0,878864.0,32.0,85.0,2.0823529411764707,177.0,18.0,300.99662828445435,244436.0
arvada,while,r1,1.0,1.0,1.0,10949.333352804184,2342.216995239258,41296.0,944836.0,39.0,95.0,2.0210526315789474,192.0,18.0,271.28709983825684,256672.0
arvada,while,r1,1.0,1.0,1.0,5627.548422574997,1453.8635637760162,32414.0,853420.0,28.0,71.0,2.0140845070422535,143.0,18.0,185.88839530944824,169260.0
arvada,while,r1,0.5051783659378596,1.0,0.6712538226299695,16351.938614368439,4200.986010551453,55846.0,1185464.0,47.0,126.0,1.9841269841269842,250.0,18.0,505.8483200073242,289236.0
arvada,while,r1,1.0,1.0,1.0,13611.738139629364,4091.7486612796783,78253.0,919772.0,41.0,107.0,2.1401869158878504,229.0,18.0,208.68019223213196,209528.0
arvada,while,r1,1.0,1.0,1.0,11846.334404945374,2096.419665336609,39828.0,717472.0,33.0,84.0,2.0357142857142856,171.0,18.0,202.22258043289185,156020.0
arvada,while,r1,1.0,1.0,1.0,14067.193745851517,3191.2111184597015,54454.0,902148.0,42.0,104.0,2.0673076923076925,215.0,18.0,382.26583671569824,231548.0
arvada,while,r1,1.0,1.0,1.0,7801.843942403793,1746.4196338653564,42570.0,677800.0,30.0,73.0,2.095890410958904,153.0,18.0,147.45947909355164,141120.0
arvada,while,r2,0.6715976331360947,0.954,0.788269038969737,26811.77340722084,6509.5298545360565,59206.0,1556308.0,47.0,123.0,1.975609756097561,243.0,18.0,417.60989236831665,324500.0
arvada,while,r2,1.0,1.0,1.0,14562.29392361641,2811.3803057670593,45986.0,948940.0,32.0,80.0,2.0875,167.0,18.0,180.09138751029968,166284.0
arvada,while,r2,1.0,1.0,1.0,16985.00018763542,3475.8517422676086,58405.0,913708.0,33.0,78.0,2.128205128205128,166.0,18.0,223.03441619873047,190544.0
arvada,while,r2,1.0,1.0,1.0,18472.213330984116,5608.587354660034,79506.0,1235596.0,42.0,99.0,2.1515151515151514,213.0,18.0,223.00052452087402,149128.0
arvada,while,r2,1.0,1.0,1.0,21319.003368854523,4523.574688673019,50962.0,1275452.0,33.0,91.0,2.065934065934066,188.0,18.0,239.30079674720764,229800.0
arvada,while,r2,1.0,1.0,1.0,17519.88561987877,3066.7083485126495,56153.0,800052.0,34.0,84.0,2.119047619047619,178.0,18.0,305.29498291015625,218668.0
arvada,while,r2,1.0,1.0,1.0,17996.207298517227,3301.647398710251,46269.0,970368.0,33.0,86.0,2.046511627906977,176.0,18.0,517.4395837783813,326332.0
arvada,while,r2,1.0,1.0,1.0,17358.8343603611,3600.2033269405365,55456.0,944004.0,38.0,98.0,2.142857142857143,210.0,18.0,237.19704747200012,173404.0
